,Longitude,Latitude,BTSName,Classification,Technology,Long-Lat-Tech
0,40.16894186,-1.6942447919999999,Masalani,Rural,GSM,40.16894186-1.6942447919999999GSM
1,40.16894186,-1.6942447919999999,Masalani,Urban,UMTS,40.16894186-1.6942447919999999UMTS
2,40.16894186,-1.6942447919999999,Masalani,Rural,UMTS,40.16894186-1.6942447919999999UMTS
3,40.27013889,-1.643888889,Masalani Quarry,Rural,GSM,40.27013889-1.643888889GSM
4,40.53816667,-1.568011111,Ijara,Rural,GSM,40.53816667-1.568011111GSM
5,40.03838364,-1.4978737569999998,Hola_Town,Rural,GSM,40.03838364-1.4978737569999998GSM
6,40.03838364,-1.4978737569999998,Hola_Town,Urban,UMTS,40.03838364-1.4978737569999998UMTS
7,40.03838364,-1.4978737569999998,Hola_Town,Rural,UMTS,40.03838364-1.4978737569999998UMTS
8,40.03838364,-1.4978737569999998,Hola_Town,Rural,LTE,40.03838364-1.4978737569999998LTE
9,40.0248,-1.4978,Hola_YU,Rural,GSM,40.0248-1.4978GSM
10,40.0248,-1.4978,Hola_YU,Rural,UMTS,40.0248-1.4978UMTS
11,39.91816667,-1.360944444,Komora_Jilla,Rural,GSM,39.91816667-1.360944444GSM
12,40.73280556,-1.313916667,Sangailu,Rural,GSM,40.73280556-1.313916667GSM
13,40.73280556,-1.313916667,,Rural,UMTS,40.73280556-1.313916667UMTS
14,40.7593,-1.1946,Galmagala,Rural,GSM,40.7593-1.1946GSM
15,39.8382,-1.1931399999999999,Bura_West,Rural,GSM,39.8382-1.1931399999999999GSM
16,39.8382,-1.193138889,Bura_West,Rural,UMTS,39.8382-1.193138889UMTS
17,37.4469424,-1.185958328,Kithimani,Rural,GSM,37.4469424-1.185958328GSM
18,37.4469424,-1.185958328,Kithimani,Urban,UMTS,37.4469424-1.185958328UMTS
19,37.4469424,-1.185958328,Kithimani,Rural,UMTS,37.4469424-1.185958328UMTS
20,39.83782399,-1.183457815,Bura,Rural,GSM,39.83782399-1.183457815GSM
21,39.83782399,-1.183457815,Bura,Rural,UMTS,39.83782399-1.183457815UMTS
22,39.83782399,-1.183457815,Bura,Rural,UMTS,39.83782399-1.183457815UMTS
23,41.0565412,-1.152161783,Hulugho,Rural,GSM,41.0565412-1.152161783GSM
24,41.0565412,-1.152161783,,Rural,UMTS,41.0565412-1.152161783UMTS
25,37.30472222,-1.148961111,Kyanzavi,Rural,GSM,37.30472222-1.148961111GSM
26,37.54638887,-1.14735065,Matuu_WMX,Rural,GSM,37.54638887-1.14735065GSM
27,37.54638887,-1.14735065,Matuu_WMX,Urban,UMTS,37.54638887-1.14735065UMTS
28,37.54638887,-1.14735065,Matuu_WMX,Rural,LTE,37.54638887-1.14735065LTE
29,37.49448889,-1.144888889,Makutano_Sofia,Rural,GSM,37.49448889-1.144888889GSM
30,37.55002778,-1.144805556,Matuu_Plateau_Area,Rural,GSM,37.55002778-1.144805556GSM
